external_id,active,address,activation_date,number_arc,marking_number,type_arc,district,carpet,lat,long,id,owner,operator
y3097,,Метро Ясенево выход 1,,0,0091,Разметка термо,,,55.606335,37.534192,3092,yandex,ultradop
y3098,,Метро Ясенево выход 7,,0,0109,Разметка термо,,,55.606892,37.531268,3093,yandex,ultradop
y3099,,Метро Ясенево выход 8,,0,0092,Разметка термо,,,55.606474,37.533405,3094,yandex,ultradop
y3100,,Метро Ясенево выход 6,,0,0108,Разметка термо,,,55.606677,37.531137,3095,yandex,ultradop
y3101,,Метро Юго-западная выход 8,,0,0094,Разметка термо,,,55.664407,37.48427,3096,yandex,ultradop
y3102,,Метро Юго-западная выход 7,,0,0093,Разметка термо,,,55.664463,37.484294,3097,yandex,ultradop
y3103,,Метро Юго-западная выход 5,,0,0075,Разметка термо,,,55.664626,37.483259,3098,yandex,ultradop
y3104,,Метро Юго-западная выход 6,,0,0071,Разметка термо,,,55.664675,37.483304,3099,yandex,ultradop
y3105,,Метро Юго-западная выход 4,,0,0076,Разметка термо,,,55.662899,37.482162,3100,yandex,ultradop
y3106,,Метро Юго-западная выход 3,,0,0088,Разметка термо,,,55.662845,37.482133,3101,yandex,ultradop
y3107,,Метро Юго-западная выход 2,,0,0090,Разметка термо,,,55.662633,37.483201,3102,yandex,ultradop
y3108,,Метро Юго-западная выход 1,,0,0089,Разметка термо,,,55.662683,37.483224,3103,yandex,ultradop
y3109,,Метро Братиславская выход 4,,0,0106,Разметка термо,,,55.659751,37.750886,3104,yandex,ultradop
y3110,,Метро Братиславская выход 4,,0,0105,Разметка термо,,,55.659687,37.750735,3105,yandex,ultradop
y3111,,Метро Братиславская выход 3,,0,0073,Разметка термо,,,55.658552,37.748794,3106,yandex,ultradop
y3112,,Метро Ясенево выход 5,,0,0107,Разметка термо,,,55.606076,37.53126,3107,yandex,ultradop
y3113,,Метро Юго-западная Выход 3,,0,0100,Разметка термо,,,55.662627,37.481866,3108,yandex,ultradop
y3114,,Метро Юго-западная выход 8,,0,0104,Разметка термо,,,55.664095,37.484124,3109,yandex,ultradop
y3115,,Метро Юго-западная выход 4,,0,0067,Разметка термо,,,55.663261,37.482136,3110,yandex,ultradop
y3116,,Метро Теплый стан выход 9,,0,0099,Разметка термо,,,55.62049,37.505682,3111,yandex,ultradop
y3117,,Метро Теплый стан выход 6,,0,0101,Разметка термо,,,55.619436,37.505784,3112,yandex,ultradop
y3118,,Метро Теплый стан выход 8,,0,0098,Разметка термо,,,55.619914,37.505209,3113,yandex,ultradop
y3119,,Метро Медведково выход 1,,0,0065,Разметка термо,,,55.887729,37.66302,3114,yandex,ultradop
y3120,,Метро Медведково выход 1,,0,0102,Разметка термо,,,55.887788,37.660285,3115,yandex,ultradop
y3121,,Метро Братиславская выход 1,,0,0068,Разметка термо,,,55.659001,37.749051,3116,yandex,ultradop
y3122,,Метро Ясенево выход 3,,0,0103,Разметка термо,,,55.605364,37.534732,3117,yandex,ultradop
y3123,,Метро Ясенево выход 3,,0,0096,Разметка термо,,,55.605166,37.535591,3118,yandex,ultradop
y3124,,Метро Некрасовка выход 2,,0,0004,Разметка термо,,,55.702286,37.930086,3119,yandex,ultradop
y3125,,Метро Некрасовка выход 2,,0,0003,Разметка термо,,,55.702137,37.930072,3120,yandex,ultradop
y3133,,Профсоюзная,,0,0172,Разметка термо,,,55.677197,37.56284,7728,yandex,ultradop
y3134,,Профсоюзная,,0,0171,Разметка термо,,,55.678646,37.564016,7729,yandex,ultradop
y3135,,Новые Черёмушки,,0,0157,Разметка термо,,,55.66935,37.554053,7730,yandex,ultradop
y3136,,Новые Черёмушки,,0,0158,Разметка термо,,,55.669532,37.553519,7731,yandex,ultradop
y3137,,Зюзино,,0,0223,Разметка термо,,,55.656183,37.571782,7732,yandex,ultradop
y3138,,Зюзино,,0,0222,Разметка термо,,,55.654953,37.575412,7733,yandex,ultradop
y3139,,Зюзино,,0,0221,Разметка термо,,,55.655247,37.575574,7734,yandex,ultradop
y3140,,Чертановская,,0,0167,Разметка термо,,,55.641819,37.605048,7735,yandex,ultradop
y3141,,Чертановская,,0,0166,Разметка термо,,,55.641785,37.604972,7736,yandex,ultradop
y3142,,Чертановская,,0,0168,Разметка термо,,,55.640553,37.604873,7737,yandex,ultradop
y3143,,Нахимовский пр-т,,0,0244,Разметка термо,,,55.663771,37.606274,7738,yandex,ultradop
y3144,,Нахимовский пр-т,,0,0245,Разметка термо,,,55.663567,37.606252,7739,yandex,ultradop
y3145,,Нахимовский пр-т,,0,0242,Разметка термо,,,55.661409,37.603546,7740,yandex,ultradop
y3146,,Нахимовский пр-т,,0,0243,Разметка термо,,,55.661678,37.604664,7741,yandex,ultradop
y3147,,Варшавская,,0,0190,Разметка термо,,,55.653109,37.61844,7742,yandex,ultradop
y3148,,Варшавская,,0,0191,Разметка термо,,,55.653159,37.620294,7743,yandex,ultradop
y3149,,Нагатинская,,0,0131,Разметка термо,,,55.684014,37.623617,7744,yandex,ultradop
y3150,,Ленинский пр-т,,0,0137,Разметка термо,,,55.708257,37.587202,7745,yandex,ultradop
